PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
DEUTNP,1,2000,1,m,0,30,166,O,O
DEUTNP,1,2000,1,m,30,5,80,O,O
DEUTNP,1,2000,1,m,35,5,104,O,O
DEUTNP,1,2000,1,m,40,5,157,O,O
DEUTNP,1,2000,1,m,45,5,237,O,O
DEUTNP,1,2000,1,m,50,5,276,O,O
DEUTNP,1,2000,1,m,55,5,500,O,O
DEUTNP,1,2000,1,m,60,5,820,O,O
DEUTNP,1,2000,1,m,65,5,993,O,O
DEUTNP,1,2000,1,m,70,5,1196,O,O
DEUTNP,1,2000,1,m,75,5,1206,O,O
DEUTNP,1,2000,1,m,80,5,828,O,O
DEUTNP,1,2000,1,m,85,5,1042,O,O
DEUTNP,1,2000,1,m,90,5,499,O,O
DEUTNP,1,2000,1,m,95,+,138,O,O
DEUTNP,1,2000,1,m,TOT,.,8242,O,O
DEUTNP,1,2000,1,f,0,30,77,O,O
DEUTNP,1,2000,1,f,30,5,33,O,O
DEUTNP,1,2000,1,f,35,5,55,O,O
DEUTNP,1,2000,1,f,40,5,88,O,O
DEUTNP,1,2000,1,f,45,5,117,O,O
DEUTNP,1,2000,1,f,50,5,150,O,O
DEUTNP,1,2000,1,f,55,5,252,O,O
DEUTNP,1,2000,1,f,60,5,426,O,O
DEUTNP,1,2000,1,f,65,5,500,O,O
DEUTNP,1,2000,1,f,70,5,841,O,O
DEUTNP,1,2000,1,f,75,5,1565,O,O
DEUTNP,1,2000,1,f,80,5,1381,O,O
DEUTNP,1,2000,1,f,85,5,2518,O,O
DEUTNP,1,2000,1,f,90,5,1494,O,O
DEUTNP,1,2000,1,f,95,+,527,O,O
DEUTNP,1,2000,1,f,TOT,.,10024,O,O
DEUTNP,1,2000,1,b,0,30,243,O,O
DEUTNP,1,2000,1,b,30,5,113,O,O
DEUTNP,1,2000,1,b,35,5,159,O,O
DEUTNP,1,2000,1,b,40,5,245,O,O
DEUTNP,1,2000,1,b,45,5,354,O,O
DEUTNP,1,2000,1,b,50,5,426,O,O
DEUTNP,1,2000,1,b,55,5,752,O,O
DEUTNP,1,2000,1,b,60,5,1246,O,O
DEUTNP,1,2000,1,b,65,5,1493,O,O
DEUTNP,1,2000,1,b,70,5,2037,O,O
DEUTNP,1,2000,1,b,75,5,2771,O,O
DEUTNP,1,2000,1,b,80,5,2209,O,O
DEUTNP,1,2000,1,b,85,5,3560,O,O
DEUTNP,1,2000,1,b,90,5,1993,O,O
DEUTNP,1,2000,1,b,95,+,665,O,O
DEUTNP,1,2000,1,b,TOT,.,18266,O,O
DEUTNP,1,2000,2,m,0,30,166,O,O
DEUTNP,1,2000,2,m,30,5,81,O,O
DEUTNP,1,2000,2,m,35,5,92,O,O
DEUTNP,1,2000,2,m,40,5,163,O,O
DEUTNP,1,2000,2,m,45,5,239,O,O
DEUTNP,1,2000,2,m,50,5,295,O,O
DEUTNP,1,2000,2,m,55,5,540,O,O
DEUTNP,1,2000,2,m,60,5,822,O,O
DEUTNP,1,2000,2,m,65,5,963,O,O
DEUTNP,1,2000,2,m,70,5,1267,O,O
DEUTNP,1,2000,2,m,75,5,1253,O,O
DEUTNP,1,2000,2,m,80,5,836,O,O
DEUTNP,1,2000,2,m,85,5,1111,O,O
DEUTNP,1,2000,2,m,90,5,484,O,O
DEUTNP,1,2000,2,m,95,+,110,O,O
DEUTNP,1,2000,2,m,TOT,.,8422,O,O
DEUTNP,1,2000,2,f,0,30,77,O,O
DEUTNP,1,2000,2,f,30,5,37,O,O
DEUTNP,1,2000,2,f,35,5,51,O,O
DEUTNP,1,2000,2,f,40,5,87,O,O
DEUTNP,1,2000,2,f,45,5,124,O,O
DEUTNP,1,2000,2,f,50,5,150,O,O
DEUTNP,1,2000,2,f,55,5,267,O,O
DEUTNP,1,2000,2,f,60,5,408,O,O
DEUTNP,1,2000,2,f,65,5,547,O,O
DEUTNP,1,2000,2,f,70,5,880,O,O
DEUTNP,1,2000,2,f,75,5,1489,O,O
DEUTNP,1,2000,2,f,80,5,1430,O,O
DEUTNP,1,2000,2,f,85,5,2395,O,O
DEUTNP,1,2000,2,f,90,5,1578,O,O
DEUTNP,1,2000,2,f,95,+,518,O,O
DEUTNP,1,2000,2,f,TOT,.,10038,O,O
DEUTNP,1,2000,2,b,0,30,243,O,O
DEUTNP,1,2000,2,b,30,5,118,O,O
DEUTNP,1,2000,2,b,35,5,143,O,O
DEUTNP,1,2000,2,b,40,5,250,O,O
DEUTNP,1,2000,2,b,45,5,363,O,O
DEUTNP,1,2000,2,b,50,5,445,O,O
DEUTNP,1,2000,2,b,55,5,807,O,O
DEUTNP,1,2000,2,b,60,5,1230,O,O
DEUTNP,1,2000,2,b,65,5,1510,O,O
DEUTNP,1,2000,2,b,70,5,2147,O,O
DEUTNP,1,2000,2,b,75,5,2742,O,O
DEUTNP,1,2000,2,b,80,5,2266,O,O
DEUTNP,1,2000,2,b,85,5,3506,O,O
DEUTNP,1,2000,2,b,90,5,2062,O,O
DEUTNP,1,2000,2,b,95,+,628,O,O
DEUTNP,1,2000,2,b,TOT,.,18460,O,O
DEUTNP,1,2000,3,m,0,30,169,O,O
DEUTNP,1,2000,3,m,30,5,80,O,O
DEUTNP,1,2000,3,m,35,5,111,O,O
DEUTNP,1,2000,3,m,40,5,145,O,O
DEUTNP,1,2000,3,m,45,5,228,O,O
DEUTNP,1,2000,3,m,50,5,293,O,O
DEUTNP,1,2000,3,m,55,5,502,O,O
DEUTNP,1,2000,3,m,60,5,822,O,O
DEUTNP,1,2000,3,m,65,5,1076,O,O
DEUTNP,1,2000,3,m,70,5,1261,O,O
DEUTNP,1,2000,3,m,75,5,1343,O,O
DEUTNP,1,2000,3,m,80,5,929,O,O
DEUTNP,1,2000,3,m,85,5,1119,O,O
DEUTNP,1,2000,3,m,90,5,535,O,O
DEUTNP,1,2000,3,m,95,+,147,O,O
DEUTNP,1,2000,3,m,TOT,.,8760,O,O
DEUTNP,1,2000,3,f,0,30,80,O,O
DEUTNP,1,2000,3,f,30,5,32,O,O
DEUTNP,1,2000,3,f,35,5,56,O,O
DEUTNP,1,2000,3,f,40,5,77,O,O
DEUTNP,1,2000,3,f,45,5,132,O,O
DEUTNP,1,2000,3,f,50,5,164,O,O
DEUTNP,1,2000,3,f,55,5,270,O,O
DEUTNP,1,2000,3,f,60,5,437,O,O
DEUTNP,1,2000,3,f,65,5,520,O,O
DEUTNP,1,2000,3,f,70,5,883,O,O
DEUTNP,1,2000,3,f,75,5,1622,O,O
DEUTNP,1,2000,3,f,80,5,1480,O,O
DEUTNP,1,2000,3,f,85,5,2479,O,O
DEUTNP,1,2000,3,f,90,5,1641,O,O
DEUTNP,1,2000,3,f,95,+,503,O,O
DEUTNP,1,2000,3,f,TOT,.,10376,O,O
DEUTNP,1,2000,3,b,0,30,249,O,O
DEUTNP,1,2000,3,b,30,5,112,O,O
DEUTNP,1,2000,3,b,35,5,167,O,O
DEUTNP,1,2000,3,b,40,5,222,O,O
DEUTNP,1,2000,3,b,45,5,360,O,O
DEUTNP,1,2000,3,b,50,5,457,O,O
DEUTNP,1,2000,3,b,55,5,772,O,O
DEUTNP,1,2000,3,b,60,5,1259,O,O
DEUTNP,1,2000,3,b,65,5,1596,O,O
DEUTNP,1,2000,3,b,70,5,2144,O,O
DEUTNP,1,2000,3,b,75,5,2965,O,O
DEUTNP,1,2000,3,b,80,5,2409,O,O
DEUTNP,1,2000,3,b,85,5,3598,O,O
DEUTNP,1,2000,3,b,90,5,2176,O,O
DEUTNP,1,2000,3,b,95,+,650,O,O
DEUTNP,1,2000,3,b,TOT,.,19136,O,O
DEUTNP,1,2000,4,m,0,30,164,O,O
DEUTNP,1,2000,4,m,30,5,69,O,O
DEUTNP,1,2000,4,m,35,5,112,O,O
DEUTNP,1,2000,4,m,40,5,194,O,O
DEUTNP,1,2000,4,m,45,5,214,O,O
DEUTNP,1,2000,4,m,50,5,322,O,O
DEUTNP,1,2000,4,m,55,5,603,O,O
DEUTNP,1,2000,4,m,60,5,923,O,O
DEUTNP,1,2000,4,m,65,5,1033,O,O
DEUTNP,1,2000,4,m,70,5,1354,O,O
DEUTNP,1,2000,4,m,75,5,1334,O,O
DEUTNP,1,2000,4,m,80,5,929,O,O
DEUTNP,1,2000,4,m,85,5,1142,O,O
DEUTNP,1,2000,4,m,90,5,536,O,O
DEUTNP,1,2000,4,m,95,+,123,O,O
DEUTNP,1,2000,4,m,TOT,.,9052,O,O
DEUTNP,1,2000,4,f,0,30,84,O,O
DEUTNP,1,2000,4,f,30,5,34,O,O
DEUTNP,1,2000,4,f,35,5,42,O,O
DEUTNP,1,2000,4,f,40,5,80,O,O
DEUTNP,1,2000,4,f,45,5,104,O,O
DEUTNP,1,2000,4,f,50,5,141,O,O
DEUTNP,1,2000,4,f,55,5,247,O,O
DEUTNP,1,2000,4,f,60,5,453,O,O
DEUTNP,1,2000,4,f,65,5,563,O,O
DEUTNP,1,2000,4,f,70,5,942,O,O
DEUTNP,1,2000,4,f,75,5,1641,O,O
DEUTNP,1,2000,4,f,80,5,1517,O,O
DEUTNP,1,2000,4,f,85,5,2581,O,O
DEUTNP,1,2000,4,f,90,5,1706,O,O
DEUTNP,1,2000,4,f,95,+,528,O,O
DEUTNP,1,2000,4,f,TOT,.,10663,O,O
DEUTNP,1,2000,4,b,0,30,248,O,O
DEUTNP,1,2000,4,b,30,5,103,O,O
DEUTNP,1,2000,4,b,35,5,154,O,O
DEUTNP,1,2000,4,b,40,5,274,O,O
DEUTNP,1,2000,4,b,45,5,318,O,O
DEUTNP,1,2000,4,b,50,5,463,O,O
DEUTNP,1,2000,4,b,55,5,850,O,O
DEUTNP,1,2000,4,b,60,5,1376,O,O
DEUTNP,1,2000,4,b,65,5,1596,O,O
DEUTNP,1,2000,4,b,70,5,2296,O,O
DEUTNP,1,2000,4,b,75,5,2975,O,O
DEUTNP,1,2000,4,b,80,5,2446,O,O
DEUTNP,1,2000,4,b,85,5,3723,O,O
DEUTNP,1,2000,4,b,90,5,2242,O,O
DEUTNP,1,2000,4,b,95,+,651,O,O
DEUTNP,1,2000,4,b,TOT,.,19715,O,O
DEUTNP,1,2000,5,m,0,30,186,O,O
DEUTNP,1,2000,5,m,30,5,74,O,O
DEUTNP,1,2000,5,m,35,5,114,O,O
DEUTNP,1,2000,5,m,40,5,174,O,O
DEUTNP,1,2000,5,m,45,5,224,O,O
DEUTNP,1,2000,5,m,50,5,311,O,O
DEUTNP,1,2000,5,m,55,5,580,O,O
DEUTNP,1,2000,5,m,60,5,870,O,O
DEUTNP,1,2000,5,m,65,5,1017,O,O
DEUTNP,1,2000,5,m,70,5,1289,O,O
DEUTNP,1,2000,5,m,75,5,1418,O,O
DEUTNP,1,2000,5,m,80,5,997,O,O
DEUTNP,1,2000,5,m,85,5,1170,O,O
DEUTNP,1,2000,5,m,90,5,586,O,O
DEUTNP,1,2000,5,m,95,+,146,O,O
DEUTNP,1,2000,5,m,TOT,.,9156,O,O
DEUTNP,1,2000,5,f,0,30,96,O,O
DEUTNP,1,2000,5,f,30,5,28,O,O
DEUTNP,1,2000,5,f,35,5,53,O,O
DEUTNP,1,2000,5,f,40,5,101,O,O
DEUTNP,1,2000,5,f,45,5,130,O,O
DEUTNP,1,2000,5,f,50,5,150,O,O
DEUTNP,1,2000,5,f,55,5,292,O,O
DEUTNP,1,2000,5,f,60,5,438,O,O
DEUTNP,1,2000,5,f,65,5,564,O,O
DEUTNP,1,2000,5,f,70,5,929,O,O
DEUTNP,1,2000,5,f,75,5,1765,O,O
DEUTNP,1,2000,5,f,80,5,1578,O,O
DEUTNP,1,2000,5,f,85,5,2709,O,O
DEUTNP,1,2000,5,f,90,5,1798,O,O
DEUTNP,1,2000,5,f,95,+,603,O,O
DEUTNP,1,2000,5,f,TOT,.,11234,O,O
